"Attribute","Value","Class","Count","Missing value count","Mean","Standard deviation"
"Humidity","High","No",3,0,,
"Humidity","High","Yes",2,0,,
"Humidity","Normal","No",1,0,,
"Humidity","Normal","Yes",3,0,,
"Outlook","Overcast","No",0,0,,
"Outlook","Overcast","Yes",1,0,,
"Outlook","Rain","No",2,0,,
"Outlook","Rain","Yes",2,0,,
"Outlook","Sunny","No",2,0,,
"Outlook","Sunny","Yes",2,0,,
"PlayGame",,"No",4,0,,
"PlayGame",,"Yes",5,0,,
"Temp","Cool","No",1,0,,
"Temp","Cool","Yes",1,0,,
"Temp","Hot","No",2,0,,
"Temp","Hot","Yes",1,0,,
"Temp","Mild","No",1,0,,
"Temp","Mild","Yes",3,0,,
"Wind","Strong","No",3,0,,
"Wind","Strong","Yes",1,0,,
"Wind","Weak","No",1,0,,
"Wind","Weak","Yes",4,0,,
